neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,rel_velocity,miss_distance,is_hazardous,year
54105511,"(2021 AO5)",22.36,0.0896509666,0.2004656557,91914.1168763561,9051094.55681125,False,2021
54105512,"(2021 AP5)",25.18,0.0244655496,0.0547066321,25245.1385176511,8366106.13571327,False,2021
54105513,"(2021 AS5)",26.3,0.0146067964,0.0326617897,29533.6855571224,3417830.088112,False,2021
54105514,"(2021 AT5)",27.53,0.0082900085,0.0185370226,27182.5824545132,751063.002796807,False,2021
54105515,"(2021 AR5)",25.55,0.0206326484,0.0461360043,30994.9539616368,3551274.12579302,False,2021
54105516,"(2021 AU5)",24.03,0.0415484643,0.0929051906,42225.1082263362,10153911.9231894,False,2021
54105517,"(2021 AV5)",26.56,0.0129585073,0.0289761031,35063.9365072791,1785498.52456733,False,2021
54105518,"(2021 AW5)",26.54,0.0130784109,0.0292442157,38699.6177767944,3237989.03399961,False,2021
54105519,"(2021 AY5)",24.93,0.0274507982,0.0613818507,31799.3573990815,1335913.04816206,False,2021
54105520,"(2021 AX5)",23.99,0.042320908,0.0946324271,98621.1225647788,6902735.53775355,False,2021
54105521,"(2021 AZ5)",28.05,0.0065246163,0.0145894856,39484.4892837119,623724.368346013,False,2021
54105522,"(2021 AA6)",26.89,0.011131533,0.0248908644,59545.1386588024,874836.690085927,False,2021
54105523,"(2021 AB6)",22.57,0.0813869881,0.1819868378,35631.9016417173,13036650.2520292,False,2021
54105524,"(2021 AD6)",23.56,0.0515887466,0.1153559443,28663.1433101179,11936480.76795,False,2021
54105525,"(2021 AC6)",25.3,0.0231502122,0.0517654482,46291.2241673126,2832940.18987417,False,2021
54105557,"(2021 AF6)",26.17,0.0155079709,0.0346768771,36578.1293447602,422044.987251455,False,2021
54105558,"(2021 AG6)",26.88,0.0111829138,0.0250057554,53273.2340925927,2480403.71366868,False,2021
54105559,"(2021 AK6)",25.29,0.0232570687,0.0520043867,60183.6152570697,1960083.50239663,False,2021
54105560,"(2021 AL6)",20.57,0.204434871,0.4571302686,72889.7704761297,20309000.3139481,True,2021
54105561,"(2021 AM6)",26.62,0.012605352,0.0281864239,25794.1573776191,2775208.27747099,False,2021
54105985,"(2021 AO6)",25.22,0.024019003,0.0537081235,22800.9622921853,5299180.88975826,False,2021
54105986,"(2021 AP6)",26.73,0.011982708,0.0267941497,34052.4652821799,3877758.19277716,False,2021
54105987,"(2021 AS6)",23.73,0.0477040198,0.1066694311,62242.5562124159,7746467.98830695,False,2021
54105988,"(2021 AT6)",24.4,0.0350392641,0.0783501764,30989.3442509511,7725622.13847371,False,2021
54105989,"(2021 AR6)",25.23,0.0239086457,0.0534613571,40817.8692346673,7273899.86593251,False,2021
54105990,"(2021 AQ6)",24.8,0.0291443905,0.0651688382,54975.6280273605,9259342.10718709,False,2021
54105991,"(2021 AU6)",25.86,0.0178877195,0.0399981568,42186.5018685709,2828292.67772624,False,2021
54105992,"(2021 AV6)",26.89,0.011131533,0.0248908644,42430.0902977314,2126386.87678081,False,2021
54105993,"(2021 AW6)",26.17,0.0155079709,0.0346768771,32116.5056553731,4146422.38381057,False,2021
54105994,"(2021 AX6)",26.89,0.011131533,0.0248908644,51111.8814929449,1305421.78590186,False,2021
54105995,"(2021 AY6)",28.15,0.0062309602,0.0139328506,24749.0063382671,2329155.31540918,False,2021
54105996,"(2021 AB7)",27.74,0.0075258399,0.0168282897,21877.014527816,1424472.24956104,False,2021
54105997,"(2021 AZ6)",26.34,0.0143401923,0.0320656449,60486.0316953474,3776958.60941883,False,2021
54105998,"(2021 AC7)",25.86,0.0178877195,0.0399981568,29059.1569924518,9149033.64937774,False,2021
54105999,"(2021 AA7)",27.32,0.0091317703,0.020419259,43113.1757899427,2131826.4946906,False,2021
54106000,"(2021 AD7)",19.43,0.3455850738,0.7727517171,9965.7637305014,49468961.4039263,False,2021
54106001,"(2021 AE7)",24.2,0.0384197891,0.0859092601,37688.1983911015,8641516.60725198,False,2021
54106002,"(2021 AF7)",25.3,0.0231502122,0.0517654482,23995.9013002746,6819904.16952071,False,2021
54106003,"(2021 AG7)",23.8,0.046190746,0.1032856481,59899.8014125711,4204039.40504959,False,2021
54106081,"(2021 AJ7)",24.01,0.0419329075,0.0937648318,37407.7610134456,14708841.6145232,False,2021
54106082,"(2021 AH7)",21.05,0.1638909515,0.3664713084,59119.5705787688,62439273.0340161,False,2021
54106083,"(2021 BA)",26.0,0.0167708462,0.0375007522,40888.4556085424,984034.652986698,False,2021
54106084,"(2021 BB)",28.02,0.0066153828,0.0147924455,33904.4388580521,1270776.78918323,False,2021
54106085,"(2021 BC)",24.3,0.0366906138,0.0820427065,61755.4538581955,1035096.28060253,False,2021
54106086,"(2021 AN7)",20.8,0.1838886721,0.411187571,31925.7768906314,64611291.6892438,False,2021
54106087,"(2021 BD)",26.89,0.011131533,0.0248908644,87416.0227030941,968880.538353568,False,2021
54106088,"(2021 BF)",25.16,0.0246919266,0.0552128263,38347.873704306,7198725.87411263,False,2021
54106089,"(2021 AO7)",21.82,0.1149621763,0.257063241,68966.6099726394,23199929.006492,False,2021
54106090,"(2021 BG)",19.71,0.3037770614,0.6792661593,22145.1793351916,51256054.3874715,False,2021
54106288,"(2021 AQ7)",24.4,0.0350392641,0.0783501764,28896.5034451636,32304062.8149214,False,2021
54106289,"(2021 AP7)",21.83,0.1144339731,0.2558821427,44288.4883209803,12889354.9774844,False,2021
54106290,"(2021 AR7)",26.6,0.0127219879,0.0284472297,25003.0234345619,6288278.71257468,False,2021
54106291,"(2021 AS7)",19.73,0.3009920165,0.6730386097,69178.2266373823,9079335.79230772,False,2021
54106292,"(2021 BJ)",25.47,0.021406959,0.0478674154,26208.1487082899,2962597.30707401,False,2021
54106293,"(2021 BK)",30.31,0.0023043847,0.0051527608,41284.6604304066,112298.992107788,False,2021
54106294,"(2021 AT7)",23.21,0.0606114923,0.1355314169,29998.4712205875,17118812.9904595,False,2021
54106295,"(2021 BL)",26.0,0.0167708462,0.0375007522,46430.1635994875,1649387.88989378,False,2021
54106296,"(2021 BM)",25.31,0.0230438467,0.0515276076,23228.8982449366,2285345.3248633,False,2021
54106297,"(2021 BN)",28.4,0.0055533491,0.0124176661,35149.9378794199,478648.662438669,False,2021
54106298,"(2021 BO)",32.95,0.0006832112,0.0015277067,31235.7387178676,23995.887302462,False,2021
54106299,"(2021 BQ)",26.43,0.0137579896,0.0307638,28140.776630163,3284134.39689406,False,2021
54106300,"(2021 BP)",23.0,0.0667659413,0.1492931834,76783.1313857652,12584200.5149657,False,2021
54106301,"(2021 BR)",25.4,0.022108281,0.0494356193,21371.1354815948,12825494.6088193,False,2021
54106302,"(2021 BS)",25.59,0.0202560601,0.0452939273,36667.5635762433,5456814.3046268,False,2021
54106303,"(2021 AV7)",18.93,0.4350658314,0.9728367737,77845.8201528752,13486421.8132249,True,2021
54106304,"(2021 BT)",23.38,0.0560473362,0.1253256538,50409.8499275129,7181297.8718555,False,2021
54106305,"(2021 BU)",26.11,0.0159424468,0.0356483948,51795.2495250497,2445007.13725117,False,2021
54106306,"(2021 BV)",25.57,0.0204434871,0.0457130269,47736.0352218067,4667748.65571815,False,2021
54106307,"(2021 BW)",20.6,0.2016299194,0.4508582062,86304.0302482808,53388604.6516169,True,2021
54106308,"(2021 AW7)",24.3,0.0366906138,0.0820427065,31619.1737331838,11233428.7780442,False,2021
54106309,"(2021 AX7)",21.0,0.1677084622,0.3750075218,41710.3265485957,27110027.8502375,False,2021
54106310,"(2021 BZ)",24.76,0.0296862251,0.0663804174,52460.6243966144,2142451.57868884,False,2021
54106311,"(2021 BY)",23.67,0.0490405098,0.1096579137,21138.2045731585,29355617.7805049,False,2021
54106336,"(2021 BA1)",22.66,0.0780827277,0.1745982871,28337.4351169646,16127751.8152777,False,2021
54106337,"(2021 BB1)",25.83,0.0181365625,0.0405545866,102206.625880156,2749105.88760127,False,2021
54106338,"(2021 BE1)",23.41,0.0552783379,0.1236061213,34383.7085194181,13982171.2325801,False,2021
54106339,"(2021 BF1)",24.3,0.0366906138,0.0820427065,93219.6627060372,8761837.33634491,False,2021
